distance(cm);start;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;end;index;code
300;8130;1524;1542;526;527;527;527;527;1534;1533;1533;517;527;526;1533;1528;1533;1543;1543;527;536;527;527;527;527;528;527;1524;1533;1534;1537;1535;1534;920;82;s1100000111000111110e000000111111t;
300;8130;1533;1533;518;536;527;536;533;1525;1533;1542;536;526;536;1533;1533;1505;1533;1524;526;526;536;536;525;527;527;527;1533;1542;1533;1524;1533;1533;929;83;s110e0e0111e0e11e1100ee0000111111t;
300;8122;1534;1533;527;527;527;527;527;1533;1533;1533;527;527;517;1533;1540;1533;1543;1543;527;536;527;536;527;527;536;527;1534;1533;1542;1533;1530;1531;929;84;s1100000111000111110e0e00e0111111t;
300;8122;1534;1532;536;527;526;527;526;1533;1533;1540;526;526;527;1533;1533;1533;1533;1524;527;527;527;527;518;527;527;527;1534;1542;1534;1534;1533;1525;920;85;s11e00001110001111100000000111111t;
300;8141;1534;1533;527;527;536;527;168;1534;1534;1533;527;527;518;1524;1543;1542;1540;1533;526;526;526;527;526;518;526;527;1524;1533;1533;1533;1536;1533;929;86;s1100e0e1110001111100000000111111t;
300;8129;1543;1543;527;527;527;527;527;1538;1534;1534;518;527;530;1531;1558;1542;1534;1534;499;527;527;536;527;523;536;527;1533;1533;1542;1533;1533;1534;930;87;s11000001110001e111e00e00e0111111t;
300;8122;1533;1536;527;527;527;527;527;1534;1524;1533;527;518;527;1984;1531;1533;1533;1524;526;527;526;526;527;526;527;535;1533;1533;1533;1533;1532;1533;920;88;s1100000111000e11110000000e111111t;
300;8130;1533;1533;517;527;517;527;518;1522;1524;1533;527;518;536;1542;1533;1534;1534;1533;527;527;536;526;526;534;527;536;1534;1531;1533;1533;1533;1533;929;89;s110000011100e1111100e0000e111111t;
300;8124;1537;1537;539;521;521;530;531;1525;1527;1537;530;521;530;1536;1537;1527;1527;1528;530;531;531;521;530;530;530;531;1537;1536;1537;1537;1521;1537;914;90;s11e00001110001111100000000111111t;
300;8122;1533;1542;527;527;527;527;527;1534;1533;1534;527;536;527;1534;1527;1532;1534;1543;527;536;527;527;527;527;527;527;1524;1524;1543;1542;1533;1532;929;91;s11000001110e0111110e000000111111t;
300;8131;1524;1542;526;526;527;526;536;1540;1533;1533;526;536;527;1533;1542;1543;1533;1535;527;527;527;517;527;517;525;527;1524;1524;1524;1543;1542;1533;930;92;s110000e1110e01111100000000111111t;
300;8131;1533;1533;527;527;527;517;527;1533;1533;1525;527;536;526;1542;1543;1540;1542;1534;527;536;527;536;527;535;535;526;1542;1542;1543;1542;1533;1531;920;93;s11000001110e0111110e0e0ee0111111t;
300;8122;1533;1533;517;536;526;527;535;1533;1533;1533;536;527;526;1542;1543;1543;1533;1533;526;527;527;527;527;527;527;527;1534;1533;1534;1534;1533;1534;929;94;s110e00e111e001111100000000111111t;
300;8125;1533;1537;527;527;527;527;527;1529;1531;1524;536;526;536;1542;1542;1534;1533;1533;536;527;526;527;526;536;527;535;1542;1542;1533;1533;1533;1532;929;95;s1100000111e0e11111e0000e0e111111t;
300;8131;1533;1533;527;527;527;518;527;1533;1540;1524;527;536;527;1543;1543;1542;1533;1533;527;527;527;499;526;526;526;524;1543;1542;1533;1533;1534;1528;929;96;s11000001110e011111000e0000111111t;
300;8124;1536;1537;521;530;521;531;530;1527;1530;1528;530;531;530;1528;1527;1509;1528;1528;530;521;531;530;530;540;521;530;1536;1527;1528;1527;1527;1528;924;97;s11000001110001111100000e00111111t;
300;8122;1532;1533;527;527;518;527;518;1525;1543;1542;526;526;536;1533;1533;1533;1531;1534;527;527;536;526;536;527;525;536;1534;1536;1524;1524;1523;1524;927;98;s110000011100e1111100e0e00e111111t;
300;8121;1542;1533;526;535;526;536;536;1533;1521;1533;536;527;535;1533;1533;1534;1515;1534;527;527;518;536;527;536;527;537;1540;1533;1534;1529;1533;1534;920;99;s110e0ee111e0e11111000e0e0e111111t;
150;8129;1528;1528;530;530;531;521;531;1537;1536;1528;521;530;530;1528;1524;1528;1527;1537;530;521;530;531;530;521;521;530;1534;1528;1533;1537;1527;1537;924;0;s11000001110001111100000000111111t;
150;8122;1533;1533;518;527;527;526;526;1533;1524;2032;508;527;536;1533;1533;1533;1533;1533;527;499;518;527;518;536;527;527;1536;1589;1543;1533;706;1524;929;1;s110000011ee0e111110e000e001e11e1t;
150;8130;1534;1534;527;527;536;527;536;1540;1539;1530;527;536;523;1524;1533;1542;1543;1543;527;536;527;527;527;527;536;527;1875;1524;1525;1533;1542;1542;921;2;s1100e0e1110e0111110e0000e0e11111t;
150;8130;1533;1533;527;519;526;517;526;1533;1534;1524;527;536;526;1534;1534;1543;1533;1533;527;533;582;527;527;527;536;582;1579;1524;1525;1524;1543;1543;920;3;s11000001110e01111100e000eee11111t;
